dev_id,category,project_id,address,street,description,zoning,date_iso,date_raw,eli,vli,li,moderate,above_moderate,affordable_units,market_units,total_units,source_fiscal_year,note
planning-1553-1555-4th-st,planning,22ENT-0082,1553-1555,4th St,Mixed Use (also 407 Colorado Ave),TA,2023-12-14,12/14/2023,0,6,0,0,54,6,54,60,2023-24,
planning-2601-2645-lincoln-blvd,planning,22ENT-0073,2601-2645,Lincoln Blvd,Mixed Use (Gelsons site),MUBL,2023-11-15,11/15/2023,0,53,0,0,468,53,468,521,2023-24,
planning-1665-appian-way,planning,16ENT-0112,1665,Appian Way,3-Unit Condos,OF,2023-08-16,8/16/2023,0,0,0,0,2,0,2,2,2023-24,
planning-2615-26th-st,planning,23ENT-0106,2615,26th St,SB9 Duplex,R1,2023-08-03,8/3/2023,0,0,0,0,2,0,2,2,2023-24,
planning-901-913-pico-blvd,planning,,901-913,Pico Blvd,5 Story Mixed Use,GC,2024-08-13,08/13/2024,0,5,0,0,40,5,40,45,2024-25,
planning-1527-1547-lincoln-blvd,planning,,1527-1547,Lincoln Blvd,Mixed Use 8 Story,LT,2024-08-16,08/16/2024,0,7,7,7,189,21,189,210,2024-25,
planning-2501-wilshire-blvd,planning,,2501,Wilshire Blvd,Mixed Use 8 Story,MUB,2024-08-19,08/19/2024,0,6,6,5,153,17,153,170,2024-25,
planning-1801-santa-monica-blvd,planning,,1801,Santa Monica Blvd,Multiunit Residential 8 Stories,GC,2024-11-19,11/19/2024,0,5,5,5,130,15,130,145,2024-25,
planning-1819-santa-monica-blvd,planning,,1819,Santa Monica Blvd,Mixed Use 8 Story,GC,2024-11-19,11/19/2024,0,5,5,5,128,15,128,143,2024-25,
planning-2025-2037-wilshire-blvd,planning,,2025-2037,Wilshire Blvd,Mixed Use 8 Story,MUB,2024-12-12,12/12/2024,0,5,5,5,135,15,135,150,2024-25,
planning-1217-14th-street,planning,,1217,14th Street,6 Story 100% Senior Affordable,R3,2025-04-11,4/11/2025,0,0,66,16,0,82,0,82,2024-25,
planning-1415-1437-5th-street,planning,,1415-1437,5th Street,"Mixed Use, 18 Story",TA,2025-03-06,3/6/2025,0,11,11,42,358,64,358,422,2024-25,
planning-1217-euclid,planning,,1217,Euclid,100% Affordable Housing,R3,2025-03-10,3/10/2025,0,0,39,9,0,48,0,48,2024-25,
planning-1902-1908-wilshire-blvd,planning,,1902-1908,Wilshire Blvd,Mixed Use 8 Story,LT,2024-08-08,08/08/2024,0,5,5,4,126,14,126,140,2024-25,
planning-2919-wilshire-blvd,planning,,2919,Wilshire Blvd,Mixed Use 8 Story,MUB,2025-06-18,6/18/2025,0,5,4,4,114,13,114,127,2024-25,
planning-601-609-colorado-ave,planning,,601-609,Colorado Ave,Mixed Use 24 Story,TA,2025-06-25,6/25/2025,0,7,7,26,224,40,224,264,2024-25,
planning-1420-1422-20th-street,planning,,1420-1422,20th Street,8 Story Hotel/Residential,R2,2024-12-18,12/18/2024,0,0,0,0,50,0,50,50,2024-25,
planning-528-arizona-ave,planning,,528,Arizona Ave,Mixed Use 8 Story,NV,2024-07-25,07/25/2024,0,6,6,6,132,18,132,150,2024-25,
